region,district,municipality,origin,alert_date,alert_hour,village_area,vegetation_area,farming_area,village_veget_area,total_area,intentional_cause,alert_day,alert_month,max_temperature,precipitation,min_temperature,avg_temperature,lat,lon
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,fire,2014-05-01,14:56:00,0,10.9,0,10.9,10.9,0,1,May,23.9,0,6.5,15.6,41.0433333333333,-6.95083333333333
Alentejo,Beja,Serpa,agriculture,2014-05-01,13:10:00,0,0,2.6,0,2.6,0,1,May,31.7,0,15.3,19.3,37.7988888888889,-7.47694444444444
Beira Interior,Guarda,Sabugal,agric_burn,2014-03-24,18:25:00,0,0.04,0,0.04,0.04,0,24,March,15.1,0,3.6,8.5,40.3119444444444,-7.13527777777778
Beira Litoral,Coimbra,Góis,firepit,2014-03-25,18:03:00,0,0.001,0,0.001,0.001,0,25,March,13.5,0.5,7.6,10.2,40.1869444444444,-8.15666666666667
Beira Interior,Guarda,Mêda,fire,2014-04-07,15:35:00,0,3,0,3,3,0,7,April,18.8,0,9.6,12.9,40.8736111111111,-7.33638888888889
Beira Interior,Guarda,Mêda,fire,2014-04-14,10:10:00,0,3,5,3,8,0,14,April,23.1,2.5,10.3,17.1,40.9363888888889,-7.23888888888889
Beira Interior,Guarda,Guarda,agric_burn,2014-04-14,21:33:00,0,0.2,0,0.2,0.2,0,14,April,23.6,2.5,13.8,18.9,40.5130555555556,-7.12
Ribatejo e Oeste,Santarém,Ourém,agriculture,2014-03-15,12:34:00,0,0,0.411,0,0.411,0,15,March,21.9,0,6.2,13.2,39.7411111111111,-8.57666666666667
Beira Litoral,Viseu,Oliveira de Frades,firepit,2014-03-15,20:45:00,0,5e-04,0,5e-04,5e-04,1,15,March,21.9,0.1,6.2,13.2,40.7819444444444,-8.2425
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-03-17,12:33:00,0,0.05,0,0.05,0.05,1,17,March,18,0,8.9,12.4,41.6861111111111,-8.70083333333333
Beira Litoral,Viseu,Vouzela,firepit,2014-03-18,15:35:00,0,0.001,0,0.001,0.001,1,18,March,17.8,0,6.9,12,40.7333333333333,-8.05166666666667
Entre Douro e Minho,Porto,Amarante,fire,2014-03-19,10:25:00,0,1,0,1,1,0,19,March,24.7,0,2.6,12.3,41.3433333333333,-7.98583333333333
Beira Litoral,Aveiro,Santa Maria da Feira,firepit,2014-03-19,18:25:00,0,0.9,0,0.9,0.9,0,19,March,22.9,0,9,14.6,41.0283333333333,-8.52388888888889
Entre Douro e Minho,Braga,Vila Verde,firepit,2014-03-10,13:38:00,0.02,0.1,0,0.12,0.12,0,10,March,26.1,0,11.6,17.7,41.7505555555556,-8.39222222222222
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-03-10,20:23:00,0,0.06,0,0.06,0.06,0,10,March,26.1,0,11.6,17.7,41.8055555555556,-8.49083333333333
Entre Douro e Minho,Viana do Castelo,Monção,firepit,2014-03-11,14:25:00,0.02,0.18,0,0.2,0.2,0,11,March,24.3,0,8.6,14.8,41.9902777777778,-8.48861111111111
Beira Interior,Guarda,Sabugal,fire,2014-03-16,17:23:00,0.5,14,0,14.5,14.5,0,16,March,21.7,0,10.1,15.8,40.3319444444444,-6.90777777777778
Beira Litoral,Viseu,Carregal do Sal,fire,2014-03-20,11:56:00,0.05,9.5,0,9.55,9.55,0,20,March,17.2,0,7.7,11.9,40.4361111111111,-7.96527777777778
Ribatejo e Oeste,Santarém,Ourém,firepit,2014-03-23,16:36:00,0,0.0872,0,0.0872,0.0872,0,23,March,14.6,0,5.4,9.2,39.6741666666667,-8.52666666666667
Algarve,Faro,Silves,agriculture,2014-03-27,15:19:00,0,0,0.005,0,0.005,0,27,March,14.7,19.8,5.4,11,37.2211111111111,-8.38166666666667
Alentejo,Évora,Reguengos de Monsaraz,agric_burn,2014-03-26,10:47:00,0,0,2e-04,0,2e-04,0,26,March,15.7,0,4.9,10.4,38.4422222222222,-7.37944444444444
Beira Interior,Guarda,Celorico da Beira,agric_burn,2014-04-13,20:53:00,0,0,0.01,0,0.01,0,13,April,25.1,0,11.8,18.3,40.5594444444444,-7.37861111111111
Entre Douro e Minho,Viana do Castelo,Melgaço,agric_burn,2014-04-09,15:06:00,0,0,0.01,0,0.01,0,9,April,27.9,0.2,10.4,18.2,42.1275,-8.23388888888889
Beira Interior,Guarda,Sabugal,firepit,2014-03-15,11:05:00,0.25,0.25,0,0.5,0.5,0,15,March,20.8,0,6.9,13.9,40.3194444444444,-6.99416666666667
Beira Interior,Guarda,Sabugal,agric_burn,2014-03-15,13:44:00,0,0,0.01,0,0.01,0,15,March,20.8,0,6.9,13.9,40.3925,-6.89722222222222
Beira Interior,Guarda,Fornos de Algodres,firepit,2014-03-15,15:12:00,0,0.005,0,0.005,0.005,0,15,March,20.8,0,6.9,13.9,40.6191666666667,-7.49972222222222
Tras-dos-Montes,Bragança,Torre de Moncorvo,fire,2014-03-15,15:25:00,0,9.04,0,9.04,9.04,0,15,March,19.5,0,0.2,11.6,41.1269444444444,-7.00222222222222
Beira Interior,Castelo Branco,Covilhá,firepit,2014-03-12,11:35:00,0,0.015,0,0.015,0.015,0,12,March,19.1,0,10,13.6,40.34,-7.40638888888889
Entre Douro e Minho,Braga,Fafe,fire,2014-03-13,01:57:00,0,2.5,0,2.5,2.5,1,13,March,20.3,0,8.5,13.2,41.4547222222222,-8.0775
Beira Interior,Guarda,Sabugal,agric_burn,2014-03-13,15:55:00,0,1,0,1,1,0,13,March,17.1,0,6.1,11.9,40.315,-6.84444444444444
Entre Douro e Minho,Viana do Castelo,Valença,firepit,2014-03-10,19:56:00,0.5,0.3,0,0.8,0.8,0,10,March,26.1,0,11.6,17.7,41.9830555555556,-8.60194444444445
Beira Litoral,Viseu,Castro Daire,fire,2014-03-11,11:45:00,4.5,0,0,4.5,4.5,0,11,March,22.3,0,10.6,16.1,40.9572222222222,-7.80333333333333
Beira Litoral,Leiria,Pombal,fire,2014-03-11,13:38:00,1,0.8,0,1.8,1.8,0,11,March,22.3,0,10.6,16.1,39.9555555555556,-8.65138888888889
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,fire,2014-03-16,12:02:00,279.849,94.987,0,374.836,374.836,1,16,March,24.1,0,7.4,13.5,41.7469444444444,-8.79777777777778
Entre Douro e Minho,Porto,Amarante,fire,2014-03-16,09:50:00,0,11.8,0,11.8,11.8,0,16,March,26.5,0,2.7,13.5,41.3433333333333,-7.98583333333333
Beira Litoral,Aveiro,Santa Maria da Feira,firepit,2014-04-10,18:06:00,0,0.0205,0,0.0205,0.0205,0,10,April,23.8,0,12.9,16.4,40.9811111111111,-8.43861111111111
Entre Douro e Minho,Braga,Celorico de Basto,firepit,2014-05-11,16:25:00,0,0.4,0,0.4,0.4,1,11,May,24.3,0,11.7,14.8,41.3772222222222,-7.99861111111111
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-05-11,16:57:00,0,0.05,0,0.05,0.05,1,11,May,21.3,0,10.3,14.8,41.7347222222222,-8.65194444444444
Beira Litoral,Leiria,Pombal,firepit,2014-05-03,14:07:00,0,0.01,0,0.01,0.01,0,3,May,26.4,0,14.9,19.2,39.9536111111111,-8.68361111111111
Entre Douro e Minho,Porto,Felgueiras,firepit,2014-05-03,17:45:00,0.9,0,0,0.9,0.9,1,3,May,24.4,0,9.4,16.6,41.3730555555556,-8.13638888888889
Beira Litoral,Viseu,Lamego,firepit,2014-05-03,21:24:00,0,0.06,0,0.06,0.06,0,3,May,26.4,0,14.9,19.2,41.0447222222222,-7.87694444444444
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-04,18:28:00,0,0.47,0,0.47,0.47,1,4,May,26.8,0,11.9,18.3,41.8866666666667,-8.31361111111111
Entre Douro e Minho,Viana do Castelo,Caminha,firepit,2014-05-05,03:41:00,0,0.3,0,0.3,0.3,1,5,May,21.2,0,11.5,14.6,41.8877777777778,-8.77055555555556
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,fire,2014-03-16,14:07:00,0,3.15,0,3.15,3.15,0,16,March,22,0,3.3,13.2,41.1713888888889,-6.78194444444444
Beira Interior,Guarda,Trancoso,fire,2014-03-15,16:29:00,2,5,0,7,7,0,15,March,20.8,0,6.9,13.9,40.8266666666667,-7.24027777777778
Entre Douro e Minho,Braga,Braga,firepit,2014-03-15,18:55:00,0,0.01,0,0.01,0.01,1,15,March,21.8,0.1,7.1,12.5,41.5661111111111,-8.31055555555556
Beira Interior,Guarda,Mêda,agriculture,2014-03-15,19:10:00,0,0,0.1,0,0.1,0,15,March,19.5,0,6.9,11.6,40.9938888888889,-7.33194444444444
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2014-03-15,21:31:00,0,3,0,3,3,1,15,March,21.8,0.1,7.1,12.5,41.8741666666667,-8.2375
Algarve,Faro,Monchique,firepit,2014-03-14,18:25:00,0,0.1,0,0.1,0.1,0,14,March,17.6,0,5.1,14.4,37.3236111111111,-8.59666666666667
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,fire,2014-03-15,15:31:00,1,0,0,1,1,0,15,March,21.8,0.1,7.1,12.5,41.7577777777778,-8.68138888888889
Ribatejo e Oeste,Santarém,Torres Novas,agriculture,2014-03-16,12:06:00,0,0,0.2215,0,0.2215,1,16,March,22.7,0,8.9,14.2,39.4988888888889,-8.46888888888889
Beira Interior,Guarda,Aguiar da Beira,firepit,2014-03-16,14:01:00,0.4,0.4,0,0.8,0.8,0,16,March,21.7,0,10.1,15.8,40.7313888888889,-7.51138888888889
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2014-03-16,15:43:00,1,1,0,2,2,1,16,March,24.1,0,7.4,13.5,41.9069444444444,-8.40722222222222
Alentejo,Portalegre,Nisa,agriculture,2014-03-18,11:06:00,0,0,1e-04,0,1e-04,0,18,March,22.1,0,6.9,14.3,39.5144444444444,-7.65027777777778
Entre Douro e Minho,Braga,Vila Nova de Famalição,agric_burn,2014-03-18,16:04:00,0,0.005,0,0.005,0.005,0,18,March,16.1,0,8.3,11.6,41.4061111111111,-8.53361111111111
Entre Douro e Minho,Braga,Terras de Bouro,fire,2014-05-12,13:27:00,0.9,1.6,0,2.5,2.5,0,12,May,20.1,0,7.6,13.8,41.6966666666667,-8.2075
Beira Interior,Guarda,Fornos de Algodres,fire,2014-05-13,15:56:00,9,17,0,26,26,1,13,May,27,0,12.1,19.2,40.6386111111111,-7.46805555555556
Alentejo,Évora,Estremoz,agriculture,2014-05-13,16:09:00,0,0,2e-04,0,2e-04,0,13,May,29.7,0,10.3,19.7,38.8477777777778,-7.5525
Beira Litoral,Aveiro,Oliveira de Azeméis,firepit,2014-05-05,19:30:00,0,0.141,0,0.141,0.141,1,5,May,24.3,0,10.4,15.9,40.8663888888889,-8.50861111111111
Algarve,Faro,São Brás de Alportel,firepit,2014-05-06,14:17:00,0,0.0268,0,0.0268,0.0268,0,6,May,24.7,0,12.3,20.5,37.1508333333333,-7.895
Beira Litoral,Leiria,Bombarral,agriculture,2014-05-06,15:58:00,0,0,0.002,0,0.002,0,6,May,25.4,0,13.6,15.4,39.2627777777778,-9.155
Entre Douro e Minho,Braga,Guimarães,agriculture,2014-05-08,04:14:00,0,0,0.001,0,0.001,0,8,May,20.6,0,11.3,14.9,41.3933333333333,-8.32944444444444
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-05-08,14:44:00,0,0.02,0,0.02,0.02,0,8,May,20.6,0,11.3,14.9,41.8594444444444,-8.56194444444444
Beira Litoral,Viseu,Viseu,firepit,2014-04-07,17:01:00,0.01,0.02,0,0.03,0.03,1,7,April,20.4,0.9,9.5,14.3,40.6366666666667,-8.04166666666667
Ribatejo e Oeste,Setubal,Santiago do Cacém,agriculture,2014-06-05,14:13:00,0,0,0.035,0,0.035,0,5,June,28.3,0,8.1,19,37.8302777777778,-8.70666666666667
Algarve,Faro,Olhão,agriculture,2014-06-08,16:14:00,0,0,0.2,0,0.2,0,8,June,21.5,0,14.1,17.7,37.0575,-7.76888888888889
Tras-dos-Montes,Bragança,Mirandela,firepit,2014-06-10,15:28:00,0,1e-04,0,1e-04,1e-04,0,10,June,21.8,0,7.2,14.9,41.7,-7.2
Tras-dos-Montes,Bragança,Torre de Moncorvo,fire,2014-05-14,10:10:00,0,73.57,0,73.57,73.57,0,14,May,24,0,5.4,14.7,41.2288888888889,-7.03166666666667
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,fire,2014-05-14,17:19:00,0,6.58,0,6.58,6.58,0,14,May,24,0,5.4,14.7,41.6294444444444,-7.02027777777778
Entre Douro e Minho,Braga,Barcelos,firepit,2014-05-15,05:33:00,0,0.02,0,0.02,0.02,0,15,May,30.1,0,14.1,21,41.6394444444444,-8.69
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-05-15,12:44:00,0.015,0,0,0.015,0.015,1,15,May,30.5,0,17,22.8,40.3163888888889,-7.86583333333333
Beira Litoral,Viseu,Cinfães,firepit,2014-05-15,13:05:00,0,0.005,0,0.005,0.005,0,15,May,30.5,0,17,22.8,41.0480555555556,-8.04444444444444
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-15,15:07:00,0,0.005,0,0.005,0.005,1,15,May,30.1,0,14.1,21,41.8125,-8.43138888888889
Entre Douro e Minho,Viana do Castelo,Valença,firepit,2014-03-19,20:42:00,0,0.01,0,0.01,0.01,0,19,March,21.9,0,6.9,12.3,41.9777777777778,-8.63222222222222
Beira Litoral,Aveiro,Vale de Cambra,firepit,2014-03-20,14:40:00,0,0.2,0,0.2,0.2,0,20,March,17.2,2,7.7,11.9,40.8530555555556,-8.33055555555556
Ribatejo e Oeste,Santarém,Cartaxo,agriculture,2014-06-08,17:38:00,0,0,2.685,0,2.685,0,8,June,21.7,0,16,16.8,39.15,-8.85
Ribatejo e Oeste,Santarém,Cartaxo,fire,2014-06-12,13:42:00,0,3.193,0,3.193,3.193,0,12,June,32.5,0,19.9,23.6,39.0666666666667,-8.75
Entre Douro e Minho,Braga,Barcelos,firepit,2014-05-15,18:46:00,0,0.15,0,0.15,0.15,0,15,May,30.1,0,14.1,21,41.6394444444444,-8.69
Beira Litoral,Viseu,Viseu,fire,2014-05-15,18:39:00,0,2.2,0,2.2,2.2,1,15,May,30.5,0,17,22.8,40.6736111111111,-7.82416666666667
Beira Interior,Guarda,Trancoso,firepit,2014-05-16,07:00:00,0,0.3,0,0.3,0.3,0,16,May,28.1,0,15.8,22.4,40.7319444444444,-7.35472222222222
Beira Litoral,Aveiro,Oliveira de Azeméis,firepit,2014-05-16,12:53:00,0.133,0,0,0.133,0.133,1,16,May,29.2,0,15.8,20.6,40.8352777777778,-8.4625
Beira Litoral,Aveiro,Aveiro,agriculture,2014-05-16,13:58:00,0,0,0.0014,0,0.0014,0,16,May,29.2,0,15.8,20.6,40.6394444444444,-8.59416666666667
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-04-11,21:40:00,0,0.05,0,0.05,0.05,1,11,April,24.2,0,11.8,16.6,41.8127777777778,-8.48222222222222
Ribatejo e Oeste,Santarém,Golegá,agriculture,2014-05-15,16:33:00,0,0,0.0242,0,0.0242,0,15,May,28.7,0,17.5,22.8,39.3486111111111,-8.52833333333333
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-05-16,15:06:00,0,0.05,0,0.05,0.05,1,16,May,31.2,0,14.2,21.3,41.7916666666667,-8.72916666666667
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,agriculture,2014-05-17,15:11:00,0,0,0.05,0,0.05,0,17,May,28.5,0,13.1,19.7,41.6883333333333,-8.77305555555555
Beira Interior,Guarda,Figueira de Castelo Rodrigo,firepit,2014-05-18,16:22:00,0,0.049,0,0.049,0.049,0,18,May,26.1,0,7.5,17.8,40.9033333333333,-6.90111111111111
Beira Litoral,Viseu,Lamego,firepit,2014-05-17,13:44:00,0,0.03,0,0.03,0.03,0,17,May,25.2,0,6.5,16.6,41.1094444444444,-7.81083333333333
Entre Douro e Minho,Braga,Vieira do Minho,firepit,2014-05-18,09:18:00,0,0.05,0,0.05,0.05,0,18,May,25,0,12.7,17,41.6480555555556,-8.24611111111111
Ribatejo e Oeste,Setubal,Santiago do Cacém,agric_burn,2014-06-06,15:32:00,0,0,0.0991,0,0.0991,0,6,June,20.6,18.8,13.8,18.6,37.9833333333333,-8.46666666666667
Alentejo,Beja,Serpa,agriculture,2014-06-07,10:50:00,0,0,7,0,7,0,7,June,24.7,0,15.7,18.4,37.9805555555556,-7.64694444444444
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-06-09,19:08:00,0,0.02,0,0.02,0.02,0,9,June,20.1,0.1,12.5,15.6,41.7666666666667,-8.83333333333333
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2014-05-15,07:20:00,0,0.2,0,0.2,0.2,0,15,May,30.1,0,14.1,21,41.4105555555556,-8.51777777777778
Beira Interior,Guarda,Sabugal,agric_burn,2014-05-15,17:49:00,0,0,0.00014,0,0.00014,0,15,May,29.4,0,15.3,22.3,40.3569444444444,-6.96694444444444
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-15,17:15:00,0,0.5,0,0.5,0.5,0,15,May,30.1,0,14.1,21,41.8108333333333,-8.505
Beira Litoral,Aveiro,Oliveira de Azeméis,firepit,2014-05-15,20:20:00,0,0.013,0,0.013,0.013,0,15,May,30.5,0,17,22.8,40.8577777777778,-8.48166666666667
Tras-dos-Montes,Bragança,Carrazeda de Ansiães,firepit,2014-03-10,15:45:00,0,0.47,0,0.47,0.47,0,10,March,20.7,0,4.1,12.3,41.2455555555556,-7.27388888888889
Beira Litoral,Aveiro,Vale de Cambra,firepit,2014-03-10,13:55:00,0,0.02,0,0.02,0.02,0,10,March,23,0,11.6,15.4,40.8208333333333,-8.405
Beira Litoral,Viseu,Oliveira de Frades,firepit,2014-03-16,21:06:00,0,0.001,0,0.001,0.001,1,16,March,22.7,0,8.9,14.2,40.7819444444444,-8.2425
Beira Interior,Guarda,Mêda,fire,2014-03-17,18:40:00,0.5,2.5,0,3,3,0,17,March,21.5,0,4.4,12.4,40.87,-7.27972222222222
Tras-dos-Montes,Vila Real,Montalegre,fire,2014-03-17,20:25:00,0.5,0.5,0,1,1,0,17,March,25,0,4.3,12.4,41.7133333333333,-8.03666666666667
Beira Litoral,Viseu,Vouzela,firepit,2014-03-19,01:35:00,0,0.001,0,0.001,0.001,0,19,March,22.9,0,9,14.6,40.7333333333333,-8.05166666666667
Beira Litoral,Viseu,Lamego,fire,2014-03-20,15:08:00,3.1,0,0,3.1,3.1,0,20,March,17.2,0,7.7,11.9,41.0313888888889,-7.84527777777778
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-03-20,21:10:00,0,0.1,0,0.1,0.1,0,20,March,17.2,0,7.7,11.9,40.3686111111111,-7.85166666666667
Ribatejo e Oeste,Santarém,Ourém,agriculture,2014-03-20,13:43:00,0,0,0.0077,0,0.0077,0,20,March,17.2,0,7.7,11.9,39.7144444444444,-8.54527777777778
Tras-dos-Montes,Vila Real,Mondim de Basto,firepit,2014-03-15,15:30:00,0.15,0.1,0,0.25,0.25,0,15,March,22.8,0,3.2,12.5,41.3811111111111,-7.95333333333333
Tras-dos-Montes,Bragança,Torre de Moncorvo,firepit,2014-03-16,22:10:00,0,0.34,0,0.34,0.34,1,16,March,22,0,3.3,13.2,41.2747222222222,-7.05083333333333
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2014-03-17,14:12:00,0,3,0,3,3,0,17,March,18,0,8.9,12.4,41.9577777777778,-8.25194444444444
Tras-dos-Montes,Vila Real,Valpaços,firepit,2014-03-17,13:10:00,0.5,0,0,0.5,0.5,0,17,March,21.5,0,4.4,12.4,41.6138888888889,-7.27444444444444
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-03-19,01:13:00,0.8,0,0,0.8,0.8,0,19,March,21.9,0,6.9,12.3,41.7663888888889,-8.51194444444444
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-03-18,14:34:00,0.24,0,0,0.24,0.24,0,18,March,17.8,0,6.9,12,40.4261111111111,-7.88805555555556
Beira Interior,Guarda,Guarda,agric_burn,2014-03-18,17:27:00,0,0.5,0,0.5,0.5,0,18,March,22.1,0,6.9,14.3,40.5980555555556,-7.24416666666667
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-03-19,13:18:00,0.035,0.1,0,0.135,0.135,1,19,March,21.9,0,6.9,12.3,41.8233333333333,-8.43361111111111
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-06-11,16:48:00,0.2,0,0,0.2,0.2,1,11,June,27,0,12.3,18.9,41.65,-8.8
Beira Litoral,Coimbra,Figueira da Foz,agriculture,2014-06-11,17:59:00,0,0,0.03,0,0.03,0,11,June,29,0,11.9,19.6,40.0877777777778,-8.83611111111111
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,fire,2014-06-13,13:53:00,1,0.35,0,1.35,1.35,1,13,June,31.8,0,18.4,24.7,41.75,-8.38333333333333
Entre Douro e Minho,Braga,Vieira do Minho,fire,2014-05-14,23:31:00,3,23,0,26,26,1,14,May,29.7,0,4.7,20.4,41.6794444444444,-8.05
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2014-05-16,05:56:00,0,0.02,0,0.02,0.02,0,16,May,31.2,0,14.2,21.3,41.4672222222222,-8.49722222222222
Beira Litoral,Leiria,Pedrogão Grande,firepit,2014-05-16,08:58:00,1e-04,0,0,1e-04,1e-04,0,16,May,29.2,0,15.8,20.6,40.015,-8.15361111111111
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-17,16:14:00,0,0.1,0,0.1,0.1,1,17,May,28.5,0,13.1,19.7,41.9477777777778,-8.39972222222222
Beira Litoral,Leiria,Pombal,firepit,2014-05-17,15:26:00,0.3,0.03,0,0.33,0.33,1,17,May,28.4,0,15,20.3,39.8469444444444,-8.64138888888889
Entre Douro e Minho,Porto,Amarante,firepit,2014-05-18,18:00:00,0,0.1,0,0.1,0.1,0,18,May,30.2,0,7.7,17,41.3433333333333,-7.98583333333333
