"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","cause_type"
"48","Beira Litoral","Coimbra","Oliveira do Hospital","Travanca de Lagos","40:23:12.0336000000049''","7:53:0.405600000000632''","firepit",2015-03-04,"18:40:00",2015-03-04,"19:40:00",2015-03-04,"18:50:00",NA,0,0.03,0,0.03,0.03,"negligent"
"49","Ribatejo e Oeste","Santarém","Santarém","Arneiro das Milhariças","39:24:10.3680000000116''","8:43:5.64599999999984''","agriculture",2015-03-05,"14:36:00",2015-03-05,"19:50:00",2015-03-05,"14:50:00",NA,0,0,4.8645,0,4.8645,"negligent"
"50","Trás-os-Montes","Bragança","Freixo de Espada à Cinta","Mazouco","41:8:49.761600000009''","6:46:56.4095999999997''","fire",2015-03-05,"16:58:00",2015-03-05,"19:15:00",2015-03-05,"17:12:00",NA,0,3.2,0,3.2,3.2,"negligent"
"51","Entre Douro e Minho","Viana do Castelo","Caminha","Dem","41:49:33.2832000000087''","8:45:45.6444000000012''","firepit",2015-03-05,"22:49:00",2015-03-06,"00:20:00",2015-03-05,"23:05:00",NA,0.04,0.02,0,0.06,0.06,"intentional"
"52","Entre Douro e Minho","Porto","Paredes","Rebordosa","41:12:28.2888000000059''","8:24:25.3512000000021''","firepit",2015-04-06,"18:19:00",2015-04-06,"20:35:00",2015-04-06,"18:25:00",NA,0,0.99,0,0.99,0.99,"negligent"
"53","Entre Douro e Minho","Viana do Castelo","Valença","Verdoejo","42:2:44.343599999998''","8:35:26.1707999999992''","firepit",2015-03-21,"00:12:00",2015-03-21,"01:05:00",2015-03-21,"00:23:00",NA,0.01,0,0,0.01,0.01,"intentional"
"54","Entre Douro e Minho","Vila Real","Mondim de Basto","Campanhó","41:19:4.02600000000234''","7:55:51.4452000000009''","fire",2015-03-21,"05:10:00",2015-03-21,"10:45:00",2015-03-21,"05:45:00",NA,1.5,0,0,1.5,1.5,"negligent"
"55","Entre Douro e Minho","Braga","Fafe","Silvares (São Martinho)","41:24:39.0059999999954''","8:9:58.1364000000028''","fire",2015-03-21,"14:32:00",2015-03-21,"19:40:00",2015-03-21,"14:45:00",NA,3,2,0,5,5,"intentional"
"56","Entre Douro e Minho","Viana do Castelo","Paredes de Coura","Vascões","41:54:6.37559999998757''","8:30:12.0528000000029''","firepit",2015-03-21,"22:31:00",2015-03-21,"23:06:00",2015-03-21,"23:05:00",NA,0,0.01,0,0.01,0.01,"intentional"
"57","Entre Douro e Minho","Viana do Castelo","Ponte da Barca","Oleiros","41:47:52.5299999999976''","8:25:55.4124000000023''","firepit",2015-03-21,"22:30:00",2015-03-21,"23:06:00",2015-03-21,"22:32:00",NA,0.5,0,0,0.5,0.5,"intentional"
"58","Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Sabadim","41:54:22.9787999999934''","8:28:1.16760000000056''","fire",2015-03-21,"23:12:00",2015-03-22,"00:25:00",2015-03-21,"23:13:00",NA,0,1.3,0,1.3,1.3,"intentional"
"59","Beira Litoral","Viseu","Vouzela","Queirã","40:40:27.0876000000015''","8:3:48.0312000000016''","firepit",2015-03-07,"12:04:00",2015-03-07,"14:20:00",2015-03-07,"12:20:00",NA,0.1,0.05,0,0.15,0.15,"intentional"
"60","Entre Douro e Minho","Braga","Vila Nova de Famalicão","Vermoim","41:25:17.7672000000001''","8:27:3.69719999999944''","fire",2015-03-30,"16:57:00",2015-03-30,"21:35:00",2015-03-30,"17:15:00",NA,1.68,0,0,1.68,1.68,"intentional"
"61","-","Guarda","Pinhel","Cerejo","40:43:45.8500000000026","7:12:47.5400000000003","fire",2015-03-30,"17:38:00",2015-03-30,"20:11:00",2015-03-30,"18:50:00",NA,0.01,1.49,0,1.5,1.5,"negligent"
"62","Trás-os-Montes","Viseu","São João da Pesqueira","Riodades","41:1:21.8963999999909''","7:29:49.3404''","firepit",2015-03-09,"14:44:00",2015-03-09,"16:20:00",NA,"",NA,0,0.15,0,0.15,0.15,"negligent"
"63","Trás-os-Montes","Viseu","Armamar","São Cosmado","41:3:40.4388000000051''","7:37:56.2367999999999''","firepit",2015-04-02,"08:10:00",2015-04-02,"12:23:00",2015-04-02,"08:30:00",NA,0,0.1,0,0.1,0.1,"rekindling"
"64","-","Vila Real","Chaves","União das freguesias de Calvão e Soutelinho da Raia","41:49:42","07:34:36","fire",2015-03-30,"17:55:00",2015-03-30,"20:30:00",2015-03-30,"18:00:00",NA,0,5,0,5,5,"negligent"
"65","-","Bragança","Mogadouro","União das freguesias de Brunhozinho, Castanheira e Sanhoane","41:21:34","06:31:14","agriculture",2015-03-31,"16:34:00",2015-03-31,"17:52:00",2015-03-31,"16:50:00",NA,0,0,1.187,0,1.187,"negligent"
"66","Entre Douro e Minho","Viseu","Resende","São Cipriano","41:3:43.9956000000035''","7:58:59.6352000000004''","fire",2015-04-02,"16:07:00",2015-04-02,"19:23:00",2015-04-02,"16:40:00",NA,0,1,0,1,1,"intentional"
"67","Entre Douro e Minho","Viseu","Resende","São Cipriano","41:3:47.3003999999986''","7:59:51.0251999999989''","firepit",2015-04-03,"01:00:00",2015-04-03,"04:00:00",2015-04-03,"01:42:00",NA,0,0.5,0,0.5,0.5,"intentional"
"68","-","Coimbra","Coimbra","União das freguesias de São Martinho do Bispo e Ribeira de Frades","40:13:20","08:27:37","agriculture",2015-02-17,"19:06:00",2015-02-17,"20:17:00",2015-02-17,"19:20:00",NA,0,0,0.001,0,0.001,"negligent"
"69","Trás-os-Montes","Vila Real","Murça","Jou","41:29:4.16759999999442''","7:28:2.67239999999987''","fire",2015-02-18,"17:40:00",2015-02-18,"18:45:00",2015-02-18,"17:55:00",NA,0,1,0,1,1,"negligent"
"70","-","Aveiro","Águeda","União das freguesias do Préstimo e Macieira de Alcoba","40:37:09","08:23:05","firepit",2015-02-19,"13:03:00",2015-02-19,"13:53:00",2015-02-19,"13:25:00",NA,0.25,0.15,0,0.4,0.4,"negligent"
"71","Trás-os-Montes","Vila Real","Vila Real","Vila Marim","41:18:16.3187999999974''","7:46:40.5947999999986''","firepit",2015-02-19,"13:18:00",2015-02-19,"13:45:00",2015-02-19,"13:30:00",NA,0,0.1,0,0.1,0.1,"intentional"
"72","Entre Douro e Minho","Braga","Amares","Bouro (Santa Marta)","41:40:19.8336000000012''","8:17:17.5739999999972''","fire",2015-02-21,"15:10:00",2015-02-21,"17:00:00",2015-02-21,"15:15:00",NA,0,3.5,0,3.5,3.5,"negligent"
"73","Algarve","Faro","Monchique","Marmelete","37:18:9.90000000001146","8:41:4.70000000000127","firepit",2015-02-23,"10:45:00",2015-02-23,"12:45:00",2015-02-23,"11:39:00",NA,0,0.006,0,0.006,0.006,"intentional"
"74","Entre Douro e Minho","Porto","Paredes","Louredo","41:14:15.7848000000035''","8:20:13.5996000000006''","firepit",2015-02-17,"19:45:00",2015-02-17,"20:16:00",2015-02-17,"19:53:00",NA,0.02,0,0,0.02,0.02,"negligent"
"75","-","Viseu","Lamego","União das freguesias de Bigorne, Magueija e Pretarouca","41:03:20","07:52:52","fire",2015-03-31,"14:50:00",2015-03-31,"17:45:00",2015-03-31,"14:51:00",NA,0,7.9,0,7.9,7.9,"negligent"
"76","-","Viana do Castelo","Viana do Castelo","União das freguesias de Subportela, Deocriste e Portela Susã","41:40:27","08:41:56","fire",2015-04-02,"12:53:00",2015-04-02,"19:55:00",NA,"",NA,6.016,0,0,6.016,6.016,"negligent"
"77","-","Vila Real","Boticas","Bobadela","41:43:28.4599999999966","7:37:2.33000000000018","firepit",2015-04-02,"23:50:00",2015-04-03,"00:45:00",2015-04-03,"00:05:00",NA,0,0.5,0,0.5,0.5,"negligent"
"78","Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Soajo","41:54:50.4539999999969''","8:14:55.8995999999992''","fire",2015-04-03,"00:16:00",2015-04-03,"17:23:00",2015-04-03,"00:40:00",NA,0,34,0,34,34,"negligent"
"79","Ribatejo e Oeste","Leiria","Caldas da Rainha","Foz do Arelho","39:26:59.3916000000115''","9:12:23.587200000001''","fire",2015-04-03,"15:32:00",2015-04-03,"18:20:00",2015-04-03,"15:45:00",NA,0,1.2,0,1.2,1.2,"negligent"
"80","Entre Douro e Minho","Viana do Castelo","Melgaço","Penso","42:4:35.4648000000003''","8:19:1.63199999999705''","agric_burn",2015-04-03,"17:28:00",2015-04-03,"18:46:00",2015-04-03,"17:49:00",NA,0,0.03,0,0.03,0.03,"negligent"
"81","Trás-os-Montes","Bragança","Macedo de Cavaleiros","Arcas","41:38:51.9539999999989''","7:2:13.9523999999994''","firepit",2015-03-05,"15:00:00",2015-03-05,"16:31:00",2015-03-05,"15:35:00",NA,0,0.2,0,0.2,0.2,"negligent"
"82","Ribatejo e Oeste","Santarém","Alcanena","Bugalhos","39:26:23.7047999999953''","8:39:21.7259999999973''","firepit",2015-03-05,"16:02:00",2015-03-05,"18:56:00",2015-03-05,"16:10:00",NA,0,0.0554,0,0.0554,0.0554,"intentional"
"83","Beira Litoral","Viseu","Viseu","Silgueiros","40:32:26.8691999999919''","7:57:13.3235999999989''","firepit",2015-03-06,"11:30:00",2015-03-06,"14:10:00",2015-03-06,"12:00:00",NA,0,0.1,0,0.1,0.1,"negligent"
"84","Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Sabadim","41:54:22.9787999999934''","8:28:1.16760000000056''","fire",2015-04-06,"16:32:00",2015-04-06,"20:45:00",2015-04-06,"17:16:00",NA,1,4,0,5,5,"negligent"
"85","Entre Douro e Minho","Porto","Penafiel","Fonte Arcada","41:9:20.0988000000001''","8:22:41.5631999999984''","firepit",2015-04-06,"18:17:00",2015-04-06,"20:05:00",2015-04-06,"18:25:00",NA,0,0.07,0,0.07,0.07,"negligent"
"86","Beira Litoral","Viseu","Nelas","Senhorim","40:32:25.6380000000053''","7:47:56.6555999999987''","fire",2015-04-04,"23:45:00",2015-04-05,"00:50:00",2015-04-04,"23:54:00",NA,0,1.4796,0,1.4796,1.4796,"intentional"
"87","-","Braga","Braga","Escudeiros","41:33:42","08:24:06","firepit",2015-02-19,"19:12:00",2015-02-19,"20:00:00",2015-02-19,"19:25:00",NA,0,0.03,0,0.03,0.03,"negligent"
"88","Beira Interior","Guarda","Seia","Santiago","40:24:48.969999999992","7:43:53.0599999999981","agric_burn",2015-03-05,"14:57:00",2015-03-05,"15:45:00",2015-03-05,"15:10:00",NA,0,0,0.5,0,0.5,"negligent"
"89","Beira Litoral","Leiria","Pedrógão Grande","Vila Facaia","39:55:3.88199999998733''","8:11:47.3531999999979''","firepit",2015-03-05,"13:31:00",2015-03-05,"15:50:00",2015-03-05,"13:43:00",NA,0.21,0.09,0,0.3,0.3,"negligent"
"90","Trás-os-Montes","Bragança","Vinhais","Vinhais","41:49:55.1064000000088''","7:0:1.33200000000073''","firepit",2015-03-05,"13:10:00",2015-03-05,"15:25:00",2015-03-05,"13:50:00",NA,0.38,0,0,0.38,0.38,"negligent"
"91","-","Viseu","Castro Daire","União das freguesias de Mezio e Moura Morta","40:59:01","07:53:21","fire",2015-03-08,"15:25:00",2015-03-08,"17:22:00",NA,"",NA,0,2,0,2,2,"negligent"
"92","Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Soajo","41:54:5.16599999999755''","8:13:20.3736000000025''","fire",2015-04-06,"14:37:00",2015-04-06,"18:00:00",2015-04-06,"14:50:00",NA,10,43,0,53,53,"negligent"
"93","Beira Interior","Guarda","Mêda","Pai Penela","40:53:44.8899999999878","7:18:16.2899999999998","fire",2015-01-25,"16:44:00",2015-01-25,"18:55:00",2015-01-25,"16:55:00",NA,0.2,2,0,2.2,2.2,"negligent"
"94","Ribatejo e Oeste","Santarém","Alcanena","Alcanena","39:28:13.3499999999896''","8:39:44.6472000000006''","agriculture",2015-01-28,"15:12:00",2015-01-28,"16:05:00",2015-01-28,"15:18:00",NA,0,0,0.0664,0,0.0664,"negligent"
"95","Entre Douro e Minho","Porto","Paredes","Lordelo","41:14:30.2712000000076''","8:24:13.067999999999''","firepit",2015-02-08,"13:20:00",2015-02-08,"14:15:00",2015-02-08,"13:28:00",NA,0,0.01,0,0.01,0.01,"negligent"
"96","Algarve","Faro","Tavira","Tavira (Santa Maria)","37:16:28.2000000000119","7:36:46.2999999999997","agriculture",2015-02-05,"12:46:00",2015-02-05,"14:25:00",2015-02-05,"13:18:00",NA,0,0,0.0629,0,0.0629,"negligent"
"97","Beira Litoral","Coimbra","Lousã","Lousã","40:8:8.46600000000819''","8:17:12.7644000000028''","firepit",2015-02-09,"11:16:00",2015-02-09,"12:28:00",2015-02-09,"11:28:00",NA,0,0.7,0,0.7,0.7,"negligent"
"98","Entre Douro e Minho","Braga","Terras de Bouro","Gondoriz","41:44:28.1399999999911''","8:17:56.5259999999998''","firepit",2015-02-10,"18:40:00",2015-02-10,"19:35:00",2015-02-10,"18:50:00",NA,0.01,0.19,0,0.2,0.2,"negligent"
"99","Beira Litoral","Aveiro","Águeda","Trofa","40:36:35.0819999999879''","8:28:54.1092000000017''","agriculture",2015-03-21,"23:14:00",2015-03-21,"23:40:00",2015-03-21,"23:20:00",NA,0,0,0.04,0,0.04,"negligent"
"100","Entre Douro e Minho","Porto","Paredes","Cete","41:10:56.0459999999949''","8:22:5.46600000000154''","agriculture",2015-03-21,"23:23:00",2015-03-21,"23:55:00",2015-03-21,"23:30:00",NA,0,0,0.01,0,0.01,"negligent"
"101","Entre Douro e Minho","Porto","Póvoa de Varzim","Estela","41:26:17.988000000002''","8:44:31.7867999999989''","firepit",2015-05-20,"20:06:00",2015-05-20,"23:05:00",2015-05-20,"20:11:00",NA,0.2,0,0,0.2,0.2,"rekindling"
"102","Alentejo","Évora","Reguengos de Monsaraz","Campo","1900-01-01 14:19:38","07:30:27","agriculture",2015-05-20,"21:14:00",2015-05-21,"00:19:00",2015-05-20,"21:44:00",NA,0,0,0.05,0,0.05,"negligent"
"103","Beira Interior","Guarda","Guarda","Famalicão","40:27:2.43999999999744","7:22:23.9899999999998","fire",2015-02-27,"13:00:00",2015-02-27,"15:41:00",2015-02-27,"13:10:00",NA,1.8,1,0.2,2.8,3,"negligent"
"104","Beira Litoral","Aveiro","Aveiro","Nossa Senhora de Fátima","40:34:37.2107999999918''","8:34:33.6324000000032''","firepit",2015-04-03,"01:18:00",2015-04-03,"02:40:00",2015-04-03,"01:28:00",NA,0.0149,0,0,0.0149,0.0149,"negligent"
"105","Entre Douro e Minho","Braga","Fafe","Revelhe","41:29:29.7491999999954''","8:9:30.582000000001''","firepit",2015-04-03,"12:13:00",2015-04-03,"17:35:00",2015-04-03,"12:25:00",NA,0.4,0.1,0,0.5,0.5,"intentional"
"106","Algarve","Faro","Portimão","Mexilhoeira Grande","37:13:27.9899997600023","8:39:7.54999992014746","agric_burn",2015-02-27,"18:48:00",2015-02-27,"21:15:00",2015-02-27,"19:10:00",NA,0,0,0.05,0,0.05,"negligent"
"107","Beira Interior","Guarda","Sabugal","Souto","40:21:20.0599999200102","6:55:7.81999967998672","agric_burn",2015-03-02,"15:22:00",2015-03-02,"16:01:00",2015-03-02,"15:30:00",NA,0,0.3,0,0.3,0.3,"negligent"
"108","-","Bragança","Vimioso","União das freguesias de Algoso, Campo de Víboras e Uva","41:27:51","06:34:39","fire",2015-03-04,"14:01:00",2015-03-04,"16:55:00",2015-03-04,"14:16:00",NA,0,3.18,0.01,3.18,3.19,"negligent"
"109","Beira Interior","Guarda","Gouveia","Folgosinho","40:28:9.65000000001169","7:28:54.3300000000006","agric_burn",2015-03-05,"18:55:00",2015-03-05,"23:10:00",2015-03-05,"18:56:00",NA,0,6.1,0,6.1,6.1,"negligent"
