region,district,municipality,origin,alert_date,alert_hour,village_area,vegetation_area,farming_area,village_veget_area,total_area,intentional_cause,max_temperature,precipitation,min_temperature,avg_temperature
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-04-21,20:19:00,0.02,0,0,0.02,0.02,0,15.9,2.8,7.2,10.5
Beira Interior,Castelo Branco,Fundão,firepit,2014-04-22,12:05:00,0.02,0,0,0.02,0.02,0,19,0.5,7.9,13.3
Beira Litoral,Viseu,Tondela,fire,2014-04-22,17:36:00,1.4,0,0,1.4,1.4,1,20.5,7.7,10.5,14.5
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,fire,2014-05-01,14:56:00,0,10.9,0,10.9,10.9,0,23.9,0,6.5,15.6
Alentejo,Beja,Serpa,agriculture,2014-05-01,13:10:00,0,0,2.6,0,2.6,0,31.7,0,15.3,19.3
Beira Interior,Guarda,Sabugal,agric_burn,2014-03-24,18:25:00,0,0.04,0,0.04,0.04,0,15.1,0,3.6,8.5
Beira Litoral,Coimbra,Góis,firepit,2014-03-25,18:03:00,0,0.001,0,0.001,0.001,0,13.5,0.5,7.6,10.2
Beira Interior,Guarda,Mêda,fire,2014-04-07,15:35:00,0,3,0,3,3,0,18.8,0,9.6,12.9
Beira Interior,Guarda,Mêda,fire,2014-04-14,10:10:00,0,3,5,3,8,0,23.1,2.5,10.3,17.1
Beira Interior,Guarda,Guarda,agric_burn,2014-04-14,21:33:00,0,0.2,0,0.2,0.2,0,23.6,2.5,13.8,18.9
Ribatejo e Oeste,Santarém,Ourém,agriculture,2014-03-15,12:34:00,0,0,0.411,0,0.411,0,21.9,0,6.2,13.2
Beira Litoral,Viseu,Oliveira de Frades,firepit,2014-03-15,20:45:00,0,5e-04,0,5e-04,5e-04,1,21.9,0.1,6.2,13.2
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-03-17,12:33:00,0,0.05,0,0.05,0.05,1,18,0,8.9,12.4
Beira Litoral,Viseu,Vouzela,firepit,2014-03-18,15:35:00,0,0.001,0,0.001,0.001,1,17.8,0,6.9,12
Entre Douro e Minho,Porto,Amarante,fire,2014-03-19,10:25:00,0,1,0,1,1,0,24.7,0,2.6,12.3
Beira Litoral,Aveiro,Santa Maria da Feira,firepit,2014-03-19,18:25:00,0,0.9,0,0.9,0.9,0,22.9,0,9,14.6
Entre Douro e Minho,Braga,Vila Verde,firepit,2014-03-10,13:38:00,0.02,0.1,0,0.12,0.12,0,26.1,0,11.6,17.7
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-03-10,20:23:00,0,0.06,0,0.06,0.06,0,26.1,0,11.6,17.7
Entre Douro e Minho,Viana do Castelo,Monção,firepit,2014-03-11,14:25:00,0.02,0.18,0,0.2,0.2,0,24.3,0,8.6,14.8
Beira Interior,Guarda,Sabugal,fire,2014-03-16,17:23:00,0.5,14,0,14.5,14.5,0,21.7,0,10.1,15.8
Beira Litoral,Viseu,Carregal do Sal,fire,2014-03-20,11:56:00,0.05,9.5,0,9.55,9.55,0,17.2,0,7.7,11.9
Ribatejo e Oeste,Santarém,Ourém,firepit,2014-03-23,16:36:00,0,0.0872,0,0.0872,0.0872,0,14.6,0,5.4,9.2
Algarve,Faro,Silves,agriculture,2014-03-27,15:19:00,0,0,0.005,0,0.005,0,14.7,19.8,5.4,11
Alentejo,Évora,Reguengos de Monsaraz,agric_burn,2014-03-26,10:47:00,0,0,2e-04,0,2e-04,0,15.7,0,4.9,10.4
Beira Interior,Guarda,Celorico da Beira,agric_burn,2014-04-13,20:53:00,0,0,0.01,0,0.01,0,25.1,0,11.8,18.3
Entre Douro e Minho,Viana do Castelo,Melgaço,agric_burn,2014-04-09,15:06:00,0,0,0.01,0,0.01,0,27.9,0.2,10.4,18.2
Beira Interior,Guarda,Sabugal,firepit,2014-03-15,11:05:00,0.25,0.25,0,0.5,0.5,0,20.8,0,6.9,13.9
Beira Interior,Guarda,Sabugal,agric_burn,2014-03-15,13:44:00,0,0,0.01,0,0.01,0,20.8,0,6.9,13.9
Beira Interior,Guarda,Fornos de Algodres,firepit,2014-03-15,15:12:00,0,0.005,0,0.005,0.005,0,20.8,0,6.9,13.9
Tras-dos-Montes,Bragança,Torre de Moncorvo,fire,2014-03-15,15:25:00,0,9.04,0,9.04,9.04,0,19.5,0,0.2,11.6
Beira Interior,Castelo Branco,Covilhá,firepit,2014-03-12,11:35:00,0,0.015,0,0.015,0.015,0,19.1,0,10,13.6
Entre Douro e Minho,Braga,Fafe,fire,2014-03-13,01:57:00,0,2.5,0,2.5,2.5,1,20.3,0,8.5,13.2
Beira Interior,Guarda,Sabugal,agric_burn,2014-03-13,15:55:00,0,1,0,1,1,0,17.1,0,6.1,11.9
Entre Douro e Minho,Viana do Castelo,Valença,firepit,2014-03-10,19:56:00,0.5,0.3,0,0.8,0.8,0,26.1,0,11.6,17.7
Beira Litoral,Viseu,Castro Daire,fire,2014-03-11,11:45:00,4.5,0,0,4.5,4.5,0,22.3,0,10.6,16.1
Beira Litoral,Leiria,Pombal,fire,2014-03-11,13:38:00,1,0.8,0,1.8,1.8,0,22.3,0,10.6,16.1
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,fire,2014-03-16,12:02:00,279.849,94.987,0,374.836,374.836,1,24.1,0,7.4,13.5
Entre Douro e Minho,Porto,Amarante,fire,2014-03-16,09:50:00,0,11.8,0,11.8,11.8,0,26.5,0,2.7,13.5
Beira Litoral,Aveiro,Santa Maria da Feira,firepit,2014-04-10,18:06:00,0,0.0205,0,0.0205,0.0205,0,23.8,0,12.9,16.4
Entre Douro e Minho,Braga,Celorico de Basto,firepit,2014-05-11,16:25:00,0,0.4,0,0.4,0.4,1,24.3,0,11.7,14.8
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-05-11,16:57:00,0,0.05,0,0.05,0.05,1,21.3,0,10.3,14.8
Beira Litoral,Leiria,Pombal,firepit,2014-05-03,14:07:00,0,0.01,0,0.01,0.01,0,26.4,0,14.9,19.2
Entre Douro e Minho,Porto,Felgueiras,firepit,2014-05-03,17:45:00,0.9,0,0,0.9,0.9,1,24.4,0,9.4,16.6
Beira Litoral,Viseu,Lamego,firepit,2014-05-03,21:24:00,0,0.06,0,0.06,0.06,0,26.4,0,14.9,19.2
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-04,18:28:00,0,0.47,0,0.47,0.47,1,26.8,0,11.9,18.3
Entre Douro e Minho,Viana do Castelo,Caminha,firepit,2014-05-05,03:41:00,0,0.3,0,0.3,0.3,1,21.2,0,11.5,14.6
Tras-dos-Montes,Bragança,Freixo de Espada Ã  Cinta,fire,2014-03-16,14:07:00,0,3.15,0,3.15,3.15,0,22,0,3.3,13.2
Beira Interior,Guarda,Trancoso,fire,2014-03-15,16:29:00,2,5,0,7,7,0,20.8,0,6.9,13.9
Entre Douro e Minho,Braga,Braga,firepit,2014-03-15,18:55:00,0,0.01,0,0.01,0.01,1,21.8,0.1,7.1,12.5
Beira Interior,Guarda,Mêda,agriculture,2014-03-15,19:10:00,0,0,0.1,0,0.1,0,19.5,0,6.9,11.6
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2014-03-15,21:31:00,0,3,0,3,3,1,21.8,0.1,7.1,12.5
Algarve,Faro,Monchique,firepit,2014-03-14,18:25:00,0,0.1,0,0.1,0.1,0,17.6,0,5.1,14.4
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,fire,2014-03-15,15:31:00,1,0,0,1,1,0,21.8,0.1,7.1,12.5
Ribatejo e Oeste,Santarém,Torres Novas,agriculture,2014-03-16,12:06:00,0,0,0.2215,0,0.2215,1,22.7,0,8.9,14.2
Beira Interior,Guarda,Aguiar da Beira,firepit,2014-03-16,14:01:00,0.4,0.4,0,0.8,0.8,0,21.7,0,10.1,15.8
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2014-03-16,15:43:00,1,1,0,2,2,1,24.1,0,7.4,13.5
Alentejo,Portalegre,Nisa,agriculture,2014-03-18,11:06:00,0,0,1e-04,0,1e-04,0,22.1,0,6.9,14.3
Entre Douro e Minho,Braga,Vila Nova de Famalição,agric_burn,2014-03-18,16:04:00,0,0.005,0,0.005,0.005,0,16.1,0,8.3,11.6
Entre Douro e Minho,Braga,Terras de Bouro,fire,2014-05-12,13:27:00,0.9,1.6,0,2.5,2.5,0,20.1,0,7.6,13.8
Beira Interior,Guarda,Fornos de Algodres,fire,2014-05-13,15:56:00,9,17,0,26,26,1,27,0,12.1,19.2
Alentejo,Évora,Estremoz,agriculture,2014-05-13,16:09:00,0,0,2e-04,0,2e-04,0,29.7,0,10.3,19.7
Beira Litoral,Aveiro,Oliveira de Azeméis,firepit,2014-05-05,19:30:00,0,0.141,0,0.141,0.141,1,24.3,0,10.4,15.9
Algarve,Faro,São Brás de Alportel,firepit,2014-05-06,14:17:00,0,0.0268,0,0.0268,0.0268,0,24.7,0,12.3,20.5
Beira Litoral,Leiria,Bombarral,agriculture,2014-05-06,15:58:00,0,0,0.002,0,0.002,0,25.4,0,13.6,15.4
Entre Douro e Minho,Braga,Guimarães,agriculture,2014-05-08,04:14:00,0,0,0.001,0,0.001,0,20.6,0,11.3,14.9
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-05-08,14:44:00,0,0.02,0,0.02,0.02,0,20.6,0,11.3,14.9
Beira Litoral,Viseu,Viseu,firepit,2014-04-07,17:01:00,0.01,0.02,0,0.03,0.03,1,20.4,0.9,9.5,14.3
Ribatejo e Oeste,Setubal,Santiago do Cacém,agriculture,2014-06-05,14:13:00,0,0,0.035,0,0.035,0,28.3,0,8.1,19
Algarve,Faro,Olhão,agriculture,2014-06-08,16:14:00,0,0,0.2,0,0.2,0,21.5,0,14.1,17.7
Tras-dos-Montes,Bragança,Mirandela,firepit,2014-06-10,15:28:00,0,1e-04,0,1e-04,1e-04,0,21.8,0,7.2,14.9
Tras-dos-Montes,Bragança,Torre de Moncorvo,fire,2014-05-14,10:10:00,0,73.57,0,73.57,73.57,0,24,0,5.4,14.7
Tras-dos-Montes,Bragança,Macedo de Cavaleiros,fire,2014-05-14,17:19:00,0,6.58,0,6.58,6.58,0,24,0,5.4,14.7
Entre Douro e Minho,Braga,Barcelos,firepit,2014-05-15,05:33:00,0,0.02,0,0.02,0.02,0,30.1,0,14.1,21
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-05-15,12:44:00,0.015,0,0,0.015,0.015,1,30.5,0,17,22.8
Beira Litoral,Viseu,Cinfães,firepit,2014-05-15,13:05:00,0,0.005,0,0.005,0.005,0,30.5,0,17,22.8
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-15,15:07:00,0,0.005,0,0.005,0.005,1,30.1,0,14.1,21
Entre Douro e Minho,Viana do Castelo,Valença,firepit,2014-03-19,20:42:00,0,0.01,0,0.01,0.01,0,21.9,0,6.9,12.3
Beira Litoral,Aveiro,Vale de Cambra,firepit,2014-03-20,14:40:00,0,0.2,0,0.2,0.2,0,17.2,2,7.7,11.9
Ribatejo e Oeste,Santarém,Cartaxo,agriculture,2014-06-08,17:38:00,0,0,2.685,0,2.685,0,21.7,0,16,16.8
Ribatejo e Oeste,Santarém,Cartaxo,fire,2014-06-12,13:42:00,0,3.193,0,3.193,3.193,0,32.5,0,19.9,23.6
Entre Douro e Minho,Braga,Barcelos,firepit,2014-05-15,18:46:00,0,0.15,0,0.15,0.15,0,30.1,0,14.1,21
Beira Litoral,Viseu,Viseu,fire,2014-05-15,18:39:00,0,2.2,0,2.2,2.2,1,30.5,0,17,22.8
Beira Interior,Guarda,Trancoso,firepit,2014-05-16,07:00:00,0,0.3,0,0.3,0.3,0,28.1,0,15.8,22.4
Beira Litoral,Aveiro,Oliveira de Azeméis,firepit,2014-05-16,12:53:00,0.133,0,0,0.133,0.133,1,29.2,0,15.8,20.6
Beira Litoral,Aveiro,Aveiro,agriculture,2014-05-16,13:58:00,0,0,0.0014,0,0.0014,0,29.2,0,15.8,20.6
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-04-11,21:40:00,0,0.05,0,0.05,0.05,1,24.2,0,11.8,16.6
Ribatejo e Oeste,Santarém,Golegá,agriculture,2014-05-15,16:33:00,0,0,0.0242,0,0.0242,0,28.7,0,17.5,22.8
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-05-16,15:06:00,0,0.05,0,0.05,0.05,1,31.2,0,14.2,21.3
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,agriculture,2014-05-17,15:11:00,0,0,0.05,0,0.05,0,28.5,0,13.1,19.7
Beira Interior,Guarda,Figueira de Castelo Rodrigo,firepit,2014-05-18,16:22:00,0,0.049,0,0.049,0.049,0,26.1,0,7.5,17.8
Beira Litoral,Viseu,Lamego,firepit,2014-05-17,13:44:00,0,0.03,0,0.03,0.03,0,25.2,0,6.5,16.6
Entre Douro e Minho,Braga,Vieira do Minho,firepit,2014-05-18,09:18:00,0,0.05,0,0.05,0.05,0,25,0,12.7,17
Ribatejo e Oeste,Setubal,Santiago do Cacém,agric_burn,2014-06-06,15:32:00,0,0,0.0991,0,0.0991,0,20.6,18.8,13.8,18.6
Alentejo,Beja,Serpa,agriculture,2014-06-07,10:50:00,0,0,7,0,7,0,24.7,0,15.7,18.4
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-06-09,19:08:00,0,0.02,0,0.02,0.02,0,20.1,0.1,12.5,15.6
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2014-05-15,07:20:00,0,0.2,0,0.2,0.2,0,30.1,0,14.1,21
Beira Interior,Guarda,Sabugal,agric_burn,2014-05-15,17:49:00,0,0,0.00014,0,0.00014,0,29.4,0,15.3,22.3
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-15,17:15:00,0,0.5,0,0.5,0.5,0,30.1,0,14.1,21
Beira Litoral,Aveiro,Oliveira de Azeméis,firepit,2014-05-15,20:20:00,0,0.013,0,0.013,0.013,0,30.5,0,17,22.8
Tras-dos-Montes,Bragança,Carrazeda de Ansiães,firepit,2014-03-10,15:45:00,0,0.47,0,0.47,0.47,0,20.7,0,4.1,12.3
Beira Litoral,Aveiro,Vale de Cambra,firepit,2014-03-10,13:55:00,0,0.02,0,0.02,0.02,0,23,0,11.6,15.4
Beira Litoral,Viseu,Oliveira de Frades,firepit,2014-03-16,21:06:00,0,0.001,0,0.001,0.001,1,22.7,0,8.9,14.2
Beira Interior,Guarda,Mêda,fire,2014-03-17,18:40:00,0.5,2.5,0,3,3,0,21.5,0,4.4,12.4
Tras-dos-Montes,Vila Real,Montalegre,fire,2014-03-17,20:25:00,0.5,0.5,0,1,1,0,25,0,4.3,12.4
Beira Litoral,Viseu,Vouzela,firepit,2014-03-19,01:35:00,0,0.001,0,0.001,0.001,0,22.9,0,9,14.6
Beira Litoral,Viseu,Lamego,fire,2014-03-20,15:08:00,3.1,0,0,3.1,3.1,0,17.2,0,7.7,11.9
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-03-20,21:10:00,0,0.1,0,0.1,0.1,0,17.2,0,7.7,11.9
Ribatejo e Oeste,Santarém,Ourém,agriculture,2014-03-20,13:43:00,0,0,0.0077,0,0.0077,0,17.2,0,7.7,11.9
Tras-dos-Montes,Vila Real,Mondim de Basto,firepit,2014-03-15,15:30:00,0.15,0.1,0,0.25,0.25,0,22.8,0,3.2,12.5
Tras-dos-Montes,Bragança,Torre de Moncorvo,firepit,2014-03-16,22:10:00,0,0.34,0,0.34,0.34,1,22,0,3.3,13.2
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2014-03-17,14:12:00,0,3,0,3,3,0,18,0,8.9,12.4
Tras-dos-Montes,Vila Real,Valpaços,firepit,2014-03-17,13:10:00,0.5,0,0,0.5,0.5,0,21.5,0,4.4,12.4
Entre Douro e Minho,Viana do Castelo,Ponte de Lima,firepit,2014-03-19,01:13:00,0.8,0,0,0.8,0.8,0,21.9,0,6.9,12.3
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-03-18,14:34:00,0.24,0,0,0.24,0.24,0,17.8,0,6.9,12
Beira Interior,Guarda,Guarda,agric_burn,2014-03-18,17:27:00,0,0.5,0,0.5,0.5,0,22.1,0,6.9,14.3
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-03-19,13:18:00,0.035,0.1,0,0.135,0.135,1,21.9,0,6.9,12.3
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-06-11,16:48:00,0.2,0,0,0.2,0.2,1,27,0,12.3,18.9
Beira Litoral,Coimbra,Figueira da Foz,agriculture,2014-06-11,17:59:00,0,0,0.03,0,0.03,0,29,0,11.9,19.6
Entre Douro e Minho,Viana do Castelo,Ponte da Barca,fire,2014-06-13,13:53:00,1,0.35,0,1.35,1.35,1,31.8,0,18.4,24.7
Entre Douro e Minho,Braga,Vieira do Minho,fire,2014-05-14,23:31:00,3,23,0,26,26,1,29.7,0,4.7,20.4
Entre Douro e Minho,Braga,Vila Nova de Famalição,firepit,2014-05-16,05:56:00,0,0.02,0,0.02,0.02,0,31.2,0,14.2,21.3
Beira Litoral,Leiria,Pedrogão Grande,firepit,2014-05-16,08:58:00,1e-04,0,0,1e-04,1e-04,0,29.2,0,15.8,20.6
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-17,16:14:00,0,0.1,0,0.1,0.1,1,28.5,0,13.1,19.7
Beira Litoral,Leiria,Pombal,firepit,2014-05-17,15:26:00,0.3,0.03,0,0.33,0.33,1,28.4,0,15,20.3
Entre Douro e Minho,Porto,Amarante,firepit,2014-05-18,18:00:00,0,0.1,0,0.1,0.1,0,30.2,0,7.7,17
Beira Litoral,Coimbra,Coimbra,firepit,2014-05-15,09:22:00,0,0.007,0,0.007,0.007,1,30.5,0,17,22.8
Algarve,Faro,Silves,firepit,2014-05-15,11:14:00,0,0.001,0,0.001,0.001,0,25,0,15.8,20.8
Entre Douro e Minho,Braga,Vieira do Minho,fire,2014-05-15,21:27:00,0,6.5,0,6.5,6.5,0,30.1,0,14.1,21
Entre Douro e Minho,Braga,Terras de Bouro,firepit,2014-05-16,10:17:00,0.15,0,0,0.15,0.15,0,31.2,0,14.2,21.3
Alentejo,Portalegre,Monforte,agriculture,2014-05-13,07:45:00,0,0,1e-04,0,1e-04,0,31.6,0,13.2,23.9
Beira Interior,Castelo Branco,Fundão,firepit,2014-05-08,18:19:00,0.03,0,0,0.03,0.03,1,28.8,0,13.2,20.7
Alentejo,Beja,Serpa,agriculture,2014-05-08,17:26:00,0,0,0.1,0,0.1,0,27.4,0,11.5,19.1
Beira Litoral,Viseu,Lamego,firepit,2014-04-11,22:58:00,0,0.001,0,0.001,0.001,0,17.9,0,10.9,13.7
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,fire,2014-05-09,15:15:00,1.5,2.6,0,4.1,4.1,1,22,0,13.2,16.4
Beira Interior,Guarda,Guarda,firepit,2014-05-15,02:27:00,0.002,0.02,0,0.022,0.022,1,29.4,0,15.3,22.3
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-15,00:05:00,0,0.03,0,0.03,0.03,1,30.1,0,14.1,21
Beira Litoral,Viseu,Viseu,firepit,2014-05-12,12:40:00,0,1e-04,0,1e-04,1e-04,0,24.2,0,8.6,15
Entre Douro e Minho,Braga,Guimarães,firepit,2014-05-12,14:25:00,0,0.2,0,0.2,0.2,0,20.1,0,7.6,13.8
Beira Litoral,Leiria,Marinha Grande,agriculture,2014-05-12,19:51:00,0,0,0.001,0,0.001,0,24.2,0,8.6,15
Beira Litoral,Viseu,Cinfães,firepit,2014-05-13,08:37:00,0,0.1,0,0.1,0.1,0,26.4,0,8.4,16.6
Alentejo,Beja,Castro Verde,agriculture,2014-05-13,15:55:00,0,0,2.4,0,2.4,0,26.5,0,10.3,21.1
Entre Douro e Minho,Braga,Vila Nova de Famalição,agriculture,2014-05-14,23:54:00,0,0,0.002,0,0.002,1,29.7,0,10.9,19.1
Tras-dos-Montes,Bragança,Mirandela,firepit,2014-05-15,15:35:00,0,0.12,0,0.12,0.12,0,31.8,0,9,17.1
Entre Douro e Minho,Viana do Castelo,Valença,agriculture,2014-05-15,16:36:00,0,0,0.04,0,0.04,0,30.1,0,14.1,21
Beira Interior,Guarda,Figueira de Castelo Rodrigo,fire,2014-05-15,17:28:00,0.4,50.1,0,50.5,50.5,0,26.9,0,9,17.1
Entre Douro e Minho,Viana do Castelo,Arcos de Valdevez,firepit,2014-05-15,17:58:00,0,0.04,0,0.04,0.04,1,30.1,0,14.1,21
Alentejo,Portalegre,Ponte de Sor,fire,2014-06-13,13:54:00,1.4587,0,0,1.4587,1.4587,0,36.1,0,22.1,28.8
Beira Litoral,Viseu,Cinfães,firepit,2014-05-03,04:25:00,0,0.001,0,0.001,0.001,0,26.4,0,14.9,19.2
Alentejo,Beja,Odemira,agriculture,2014-06-17,14:58:00,0,0,0.663,0,0.663,1,24.4,0,20,21.5
Beira Litoral,Aveiro,Santa Maria da Feira,firepit,2014-05-17,11:27:00,0,0.41,0,0.41,0.41,0,28.4,0,15,20.3
Alentejo,Portalegre,Elvas,agriculture,2014-05-17,14:25:00,0,0,0.0753,0,0.0753,0,30.3,0,14.2,23.4
Entre Douro e Minho,Braga,Guimarães,firepit,2014-05-17,17:03:00,0.02,0,0,0.02,0.02,0,28.5,0,13.1,19.7
Alentejo,Beja,Almodôvar,agriculture,2014-05-17,17:10:00,0,0,0.1,0,0.1,0,23.3,0,13.7,19.7
Entre Douro e Minho,Braga,Pôvoa de Lanhoso,fire,2014-05-17,21:50:00,0.3,1,0,1.3,1.3,0,28.5,0,13.1,19.7
Alentejo,Portalegre,Campo Maior,agriculture,2014-06-14,21:36:00,0,0,0.0207,0,0.0207,0,39.2,0,23.6,32.7
Algarve,Faro,Monchique,fire,2014-04-09,10:41:00,0.2,1,0,1.2,1.2,0,24.4,0,13.6,20.8
Ribatejo e Oeste,Santarém,Constância,fire,2014-06-19,17:08:00,0.3816,10,0,10.3816,10.3816,0,26.9,0,13.2,20.1
Beira Litoral,Leiria,Alcobaça,agriculture,2014-06-20,10:50:00,0,0,0.15,0,0.15,0,24,0,16.4,18.4
Ribatejo e Oeste,Santarém,Abrantes,firepit,2014-06-16,16:03:00,0.2,0,0,0.2,0.2,0,30.6,0,16.1,23.3
Tras-dos-Montes,Vila Real,Montalegre,fire,2014-03-16,12:00:00,12.8,7,0,19.8,19.8,0,26.5,0,2.7,13.5
Beira Litoral,Coimbra,Tábua,firepit,2014-03-16,17:01:00,0,0.05,0,0.05,0.05,0,22.7,0,8.9,14.2
Beira Litoral,Viseu,Mortágua,fire,2014-03-11,13:56:00,1.1,0,0,1.1,1.1,0,22.3,0,10.6,16.1
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,firepit,2014-03-18,17:05:00,0,0.002,0,0.002,0.002,0,16.1,0,8.3,11.6
Beira Litoral,Coimbra,Oliveira do Hospital,firepit,2014-03-20,16:49:00,0.25,0.05,0,0.3,0.3,0,17.2,0,7.7,11.9
Entre Douro e Minho,Braga,Fafe,fire,2014-05-18,18:39:00,0,41,0,41,41,1,25,0,12.7,17
Beira Litoral,Viseu,Oliveira de Frades,firepit,2014-03-15,18:45:00,0,1e-04,0,1e-04,1e-04,0,21.9,0.1,6.2,13.2
Entre Douro e Minho,Porto,Vila do Conde,firepit,2014-07-12,13:00:00,0.015,0,0,0.015,0.015,0,28.7,0,13.3,18.2
Entre Douro e Minho,Viana do Castelo,Paredes de Coura,firepit,2014-03-16,12:40:00,0,0.25,0,0.25,0.25,0,24.1,0,7.4,13.5
Entre Douro e Minho,Viana do Castelo,Viana do Castelo,fire,2014-03-16,23:09:00,0,1.288,0,1.288,1.288,0,24.1,0,7.4,13.5
