"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause"
11,"-","Vila Real","Boticas","Granja","41:40:60","07:38:02","firepit",2014-04-14 01:00:00,00:45:00,2014-04-14 01:00:00,03:00:00,2014-04-14 01:00:00,01:30:00,NA,0.04,0,0,0.04,0.04,1
12,"Beira Interior","Castelo Branco","Sertã","Troviscal","39º53'22''","8º0'14''","firepit",2014-04-15 01:00:00,17:37:00,2014-04-15 01:00:00,18:59:00,2014-04-15 01:00:00,17:48:00,NA,0.5,0,0,0.5,0.5,0
13,"Entre Douro e Minho","Braga","Barcelos","Paradela","41º31'33''","8º35'9''","fire",2014-04-16 01:00:00,15:56:00,2014-04-16 01:00:00,22:00:00,2014-04-16 01:00:00,16:10:00,NA,11.55,0,0,11.55,11.55,0
14,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","Vale de Prados","41º33'4''","6º56'17''","firepit",2014-04-16 01:00:00,19:09:00,2014-04-16 01:00:00,20:18:00,2014-04-16 01:00:00,19:18:00,NA,0,0.02,0,0.02,0.02,0
15,"Entre Douro e Minho","Braga","Terras de Bouro","Campo do Gerês","41º44'45''","8º10'11''","fire",2014-04-17 01:00:00,16:25:00,2014-04-17 01:00:00,20:50:00,2014-04-17 01:00:00,16:55:00,NA,5,3,0,8,8,0
16,"-","Guarda","Gouveia","Rio Torto","40:29:36","07:39:04","firepit",2014-04-14 01:00:00,02:12:00,2014-04-14 01:00:00,04:40:00,2014-04-14 01:00:00,02:50:00,NA,0,0.5,0,0.5,0.5,1
17,"Entre Douro e Minho","Braga","Barcelos","Oliveira","41º38'29''","8º38'44''","firepit",2014-04-14 01:00:00,14:59:00,2014-04-14 01:00:00,16:55:00,2014-04-14 01:00:00,15:15:00,NA,0.15,0,0,0.15,0.15,1
18,"Beira Litoral","Leiria","Pedrógão Grande","Graça","39º55'31''","8º13'12''","firepit",2014-04-16 01:00:00,14:23:00,2014-04-16 01:00:00,16:50:00,2014-04-16 01:00:00,14:30:00,NA,0.03,0.0615,0,0.0915,0.0915,0
19,"-","Viseu","Mangualde","União das freguesias de Tavares (Chãs, Várzea e Travanca)","40º32'27''","7º46'5''","firepit",2014-04-20 01:00:00,14:27:00,2014-04-20 01:00:00,16:40:00,2014-04-20 01:00:00,15:05:00,NA,0.01,0,0,0.01,0.01,0
20,"Entre Douro e Minho","Viana do Castelo","Caminha","Lanhelas","41º54'19''","8º47'1''","firepit",2014-03-20 00:00:00,17:23:00,2014-03-20 00:00:00,18:45:00,2014-03-20 00:00:00,17:36:00,NA,0,0.04,0,0.04,0.04,0
21,"-","Bragança","Macedo de Cavaleiros","União das freguesias de Castelãos e Vilar do Monte","41º30'59''","6º56'1''","firepit",2014-03-20 00:00:00,21:40:00,2014-03-20 00:00:00,22:05:00,2014-03-20 00:00:00,21:45:00,NA,0.001,0,0,0.001,0.001,0
22,"Beira Interior","Castelo Branco","Castelo Branco","Castelo Branco","39º49'38''","7º32'12''","firepit",2014-03-23 00:00:00,19:04:00,2014-03-23 00:00:00,20:20:00,2014-03-23 00:00:00,19:15:00,NA,0,0.005,0,0.005,0.005,0
23,"-","Guarda","Guarda","Sé","40:31:10","07:16:06","agric_burn",2014-03-23 00:00:00,14:15:00,2014-03-23 00:00:00,16:40:00,2014-03-23 00:00:00,14:49:00,NA,0,0.15,0,0.15,0.15,0
24,"Algarve","Faro","São Brás de Alportel","São Brás de Alportel","37:9:60","07:54:56","agriculture",2014-03-25 00:00:00,17:45:00,2014-03-25 00:00:00,18:50:00,2014-03-25 00:00:00,17:55:00,NA,0,0,0.0282,0,0.0282,0
25,"Beira Litoral","Leiria","Pedrógão Grande","Vila Facaia","39º55'30''","8º12'26''","firepit",2014-04-10 01:00:00,13:57:00,2014-04-10 01:00:00,15:39:00,2014-04-10 01:00:00,14:08:00,NA,0.07,0.16,0,0.23,0.23,0
26,"Trás-os-Montes","Viseu","Moimenta da Beira","Passô","41º0'58''","7º43'21''","firepit",2014-04-11 01:00:00,13:33:00,2014-04-11 01:00:00,15:38:00,NA,NA,NA,0,0.03,0,0.03,0.03,0
27,"Entre Douro e Minho","Porto","Felgueiras","Pinheiro","41:22:18","08:08:21","firepit",2014-04-21 01:00:00,18:06:00,2014-04-21 01:00:00,21:15:00,2014-04-21 01:00:00,18:45:00,NA,0.7,0,0,0.7,0.7,1
28,"-","Viana do Castelo","Viana do Castelo","União das freguesias de Cardielos e Serreleis","41º42'54''","8º51'15''","firepit",2014-04-21 01:00:00,20:19:00,2014-04-21 01:00:00,21:10:00,2014-04-21 01:00:00,20:30:00,NA,0.02,0,0,0.02,0.02,0
29,"-","Castelo Branco","Fundão","União das freguesias de Vale de Prazeres e Mata da Rainha","40º5'55''","7º26'6''","firepit",2014-04-22 01:00:00,12:05:00,2014-04-22 01:00:00,14:15:00,2014-04-22 01:00:00,12:40:00,NA,0.02,0,0,0.02,0.02,0
30,"Beira Litoral","Viseu","Tondela","Santiago de Besteiros","40º35'16''","8º6'18''","fire",2014-04-22 01:00:00,17:36:00,2014-04-22 01:00:00,20:40:00,2014-04-22 01:00:00,18:09:00,NA,1.4,0,0,1.4,1.4,1
31,"-","Bragança","Freixo de Espada à Cinta","União das freguesias de Lagoaça e Fornos","41º2'36''","6º57'3''","fire",2014-05-01 01:00:00,14:56:00,2014-05-01 01:00:00,17:45:00,2014-05-01 01:00:00,15:05:00,NA,0,10.9,0,10.9,10.9,0
32,"Alentejo","Beja","Serpa","Pias","37º47'56''","7º28'37''","agriculture",2014-05-01 01:00:00,13:10:00,2014-05-01 01:00:00,17:25:00,2014-05-01 01:00:00,15:46:00,NA,0,0,2.6,0,2.6,0
33,"-","Guarda","Sabugal","Santo Estevão","40:18:43","07:08:07","agric_burn",2014-03-24 00:00:00,18:25:00,2014-03-24 00:00:00,20:00:00,2014-03-24 00:00:00,18:40:00,NA,0,0.04,0,0.04,0.04,0
34,"Beira Litoral","Coimbra","Góis","Vila Nova do Ceira","40º11'13''","8º9'24''","firepit",2014-03-25 00:00:00,18:03:00,2014-03-25 00:00:00,20:04:00,2014-03-25 00:00:00,18:20:00,NA,0,0.001,0,0.001,0.001,0
35,"-","Guarda","Mêda","Casteição","40:52:25","07:20:11","fire",2014-04-07 01:00:00,15:35:00,2014-04-07 01:00:00,19:20:00,2014-04-07 01:00:00,15:38:00,NA,0,3,0,3,3,0
36,"-","Guarda","Mêda","Meda","40:56:11","07:14:20","fire",2014-04-14 01:00:00,10:10:00,2014-04-14 01:00:00,11:40:00,2014-04-14 01:00:00,10:40:00,NA,0,3,5,3,8,0
37,"-","Guarda","Guarda","Rochoso","40:30:47","07:07:12","agric_burn",2014-04-14 01:00:00,21:33:00,2014-04-15 01:00:00,02:10:00,2014-04-14 01:00:00,21:50:00,NA,0,0.2,0,0.2,0.2,0
38,"Ribatejo e Oeste","Santarém","Ourém","Nossa Senhora da Piedade","39º44'28''","8º34'36''","agriculture",2014-03-15 00:00:00,12:34:00,2014-03-15 00:00:00,14:54:00,2014-03-15 00:00:00,12:46:00,NA,0,0,0.411,0,0.411,0
39,"-","Viseu","Oliveira de Frades","União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães","40º46'55''","8º14'33''","firepit",2014-03-15 00:00:00,20:45:00,2014-03-15 00:00:00,21:32:00,2014-03-15 00:00:00,21:05:00,NA,0,5e-04,0,5e-04,5e-04,1
40,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Outeiro","41º41'10''","8º42'3''","firepit",2014-03-17 00:00:00,12:33:00,2014-03-17 00:00:00,16:30:00,2014-03-17 00:00:00,13:39:00,NA,0,0.05,0,0.05,0.05,1
41,"Beira Litoral","Viseu","Vouzela","São Miguel do Mato","40º44'0''","8º3'6''","firepit",2014-03-18 00:00:00,15:35:00,2014-03-18 00:00:00,18:10:00,2014-03-18 00:00:00,15:48:00,NA,0,0.001,0,0.001,0.001,1
42,"-","Porto","Amarante","União das freguesias de Bustelo, Carneiro e Carvalho de Rei","41º20'36''","7º59'9''","fire",2014-03-19 00:00:00,10:25:00,2014-03-19 00:00:00,13:25:00,2014-03-19 00:00:00,11:00:00,NA,0,1,0,1,1,0
43,"Entre Douro e Minho","Aveiro","Santa Maria da Feira","Romariz","41º1'42''","8º31'26''","firepit",2014-03-19 00:00:00,18:25:00,2014-03-19 00:00:00,20:10:00,2014-03-19 00:00:00,18:40:00,NA,0,0.9,0,0.9,0.9,0
44,"Entre Douro e Minho","Braga","Vila Verde","Dossãos","41º45'2''","8º23'32''","firepit",2014-03-10 00:00:00,13:38:00,2014-03-10 00:00:00,17:00:00,2014-03-10 00:00:00,14:20:00,NA,0.02,0.1,0,0.12,0.12,0
45,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Couto","41º48'20''","8º29'27''","firepit",2014-03-10 00:00:00,20:23:00,2014-03-10 00:00:00,21:40:00,2014-03-10 00:00:00,20:38:00,NA,0,0.06,0,0.06,0.06,0
46,"Entre Douro e Minho","Viana do Castelo","Monção","Podame","41º59'25''","8º29'19''","firepit",2014-03-11 00:00:00,14:25:00,2014-03-11 00:00:00,16:15:00,2014-03-11 00:00:00,15:13:00,NA,0.02,0.18,0,0.2,0.2,0
47,"Beira Interior","Guarda","Sabugal","Soito","40:19:55","06:54:28","fire",2014-03-16 00:00:00,17:23:00,2014-03-16 00:00:00,19:26:00,2014-03-16 00:00:00,17:45:00,NA,0.5,14,0,14.5,14.5,0
48,"-","Viseu","Carregal do Sal","Oliveira do Conde","40:26:10","07:57:55","fire",2014-03-20 00:00:00,11:56:00,2014-03-20 00:00:00,16:50:00,2014-03-20 00:00:00,12:15:00,NA,0.05,9.5,0,9.55,9.55,0
49,"Ribatejo e Oeste","Santarém","Ourém","Seiça","39º40'27''","8º31'36''","firepit",2014-03-23 00:00:00,16:36:00,2014-03-23 00:00:00,17:53:00,2014-03-23 00:00:00,16:54:00,NA,0,0.0872,0,0.0872,0.0872,0
50,"Algarve","Faro","Silves","Silves","37:13:16","08:22:54","agriculture",2014-03-27 00:00:00,15:19:00,2014-03-27 00:00:00,17:45:00,2014-03-27 00:00:00,15:38:00,NA,0,0,0.005,0,0.005,0
51,"Alentejo","Évora","Reguengos de Monsaraz","Monsaraz","38:26:32","07:22:46","agric_burn",2014-03-26 00:00:00,10:47:00,2014-03-26 00:00:00,12:33:00,2014-03-26 00:00:00,11:20:00,NA,0,0,2e-04,0,2e-04,0
52,"-","Guarda","Celorico da Beira","Prados","40:33:34","07:22:43","agric_burn",2014-04-13 01:00:00,20:53:00,2014-04-13 01:00:00,21:54:00,2014-04-13 01:00:00,21:15:00,NA,0,0,0.01,0,0.01,0
53,"-","Viana do Castelo","Melgaço","União das freguesias de Chaviães e Paços","42º7'39''","8º14'2''","agric_burn",2014-04-09 01:00:00,15:06:00,2014-04-09 01:00:00,15:45:00,2014-04-09 01:00:00,15:10:00,NA,0,0,0.01,0,0.01,0
54,"Beira Interior","Guarda","Sabugal","Quadrazais","40:19:10","06:59:39","firepit",2014-03-15 00:00:00,11:05:00,2014-03-15 00:00:00,13:44:00,2014-03-15 00:00:00,11:15:00,NA,0.25,0.25,0,0.5,0.5,0
55,"Beira Interior","Guarda","Sabugal","Alfaiates","40:23:33","06:53:50","agric_burn",2014-03-15 00:00:00,13:44:00,2014-03-15 00:00:00,15:00:00,2014-03-15 00:00:00,13:55:00,NA,0,0,0.01,0,0.01,0
56,"-","Guarda","Fornos de Algodres","Figueiró da Granja","40:37:09","07:29:59","firepit",2014-03-15 00:00:00,15:12:00,2014-03-15 00:00:00,16:25:00,2014-03-15 00:00:00,15:35:00,NA,0,0.005,0,0.005,0.005,0
57,"-","Bragança","Torre de Moncorvo","União das freguesias de Felgueiras e Maçores","41º7'37''","7º0'8''","fire",2014-03-15 00:00:00,15:25:00,2014-03-15 00:00:00,19:58:00,2014-03-15 00:00:00,15:27:00,NA,0,9.04,0,9.04,9.04,0
58,"Beira Interior","Castelo Branco","Covilhã","Orjais","40º20'24''","7º24'23''","firepit",2014-03-12 00:00:00,11:35:00,2014-03-12 00:00:00,12:25:00,2014-03-12 00:00:00,11:50:00,NA,0,0.015,0,0.015,0.015,0
59,"Entre Douro e Minho","Braga","Fafe","São Gens","41:27:17","08:04:39","fire",2014-03-13 00:00:00,01:57:00,2014-03-13 00:00:00,04:15:00,2014-03-13 00:00:00,02:20:00,NA,0,2.5,0,2.5,2.5,1
60,"Beira Interior","Guarda","Sabugal","Aldeia do Bispo","40:18:54","06:50:40","agric_burn",2014-03-13 00:00:00,15:55:00,2014-03-13 00:00:00,16:52:00,2014-03-13 00:00:00,16:10:00,NA,0,1,0,1,1,0
61,"Entre Douro e Minho","Viana do Castelo","Valença","Cerdal","41º58'59''","8º36'7''","firepit",2014-03-10 00:00:00,19:56:00,2014-03-10 00:00:00,22:20:00,2014-03-10 00:00:00,19:56:00,NA,0.5,0.3,0,0.8,0.8,0
62,"Beira Litoral","Viseu","Castro Daire","Mões","40º57'26''","7º48'12''","fire",2014-03-11 00:00:00,11:45:00,2014-03-11 00:00:00,14:30:00,2014-03-11 00:00:00,12:32:00,NA,4.5,0,0,4.5,4.5,0
63,"Beira Litoral","Leiria","Pombal","Almagreira","39º57'20''","8º39'5''","fire",2014-03-11 00:00:00,13:38:00,2014-03-11 00:00:00,17:00:00,2014-03-11 00:00:00,14:00:00,NA,1,0.8,0,1.8,1.8,0
64,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Vreia de Jales","41:27:47","07:35:14","fire",2014-03-11 00:00:00,14:41:00,2014-03-11 00:00:00,16:00:00,NA,NA,NA,0,4,0,4,4,0
65,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Outeiro","41º44'49''","8º47'52''","fire",2014-03-16 00:00:00,12:02:00,2014-03-16 00:00:00,14:20:00,2014-03-16 00:00:00,12:02:00,NA,279.849,94.987,0,374.836,374.836,1
66,"Entre Douro e Minho","Porto","Amarante","Candemil","41º20'36''","7º59'9''","fire",2014-03-16 00:00:00,09:50:00,2014-03-16 00:00:00,17:00:00,2014-03-16 00:00:00,10:10:00,NA,0,11.8,0,11.8,11.8,0
67,"-","Aveiro","Santa Maria da Feira","União das freguesias de Lobão, Gião, Louredo e Guisande","40º58'52''","8º26'19''","firepit",2014-04-10 01:00:00,18:06:00,2014-04-10 01:00:00,20:05:00,2014-04-10 01:00:00,18:31:00,NA,0,0.0205,0,0.0205,0.0205,0
68,"Entre Douro e Minho","Braga","Celorico de Basto","Arnoia","41:22:38","07:59:55","firepit",2014-05-11 01:00:00,16:25:00,2014-05-11 01:00:00,17:35:00,2014-05-11 01:00:00,16:35:00,NA,0,0.4,0,0.4,0.4,1
69,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Vitorino das Donas","41º44'5''","8º39'7''","firepit",2014-05-11 01:00:00,16:57:00,2014-05-11 01:00:00,18:35:00,2014-05-11 01:00:00,17:15:00,NA,0,0.05,0,0.05,0.05,1
70,"Beira Litoral","Leiria","Pombal","Almagreira","39º57'13''","8º41'1''","firepit",2014-05-03 01:00:00,14:07:00,2014-05-03 01:00:00,15:25:00,2014-05-03 01:00:00,14:10:00,NA,0,0.01,0,0.01,0.01,0
71,"Entre Douro e Minho","Porto","Felgueiras","Pinheiro","41:22:23","08:08:11","firepit",2014-05-03 01:00:00,17:45:00,2014-05-03 01:00:00,19:35:00,2014-05-03 01:00:00,18:10:00,NA,0.9,0,0,0.9,0.9,1
72,"-","Viseu","Lamego","União das freguesias de Bigorne, Magueija e Pretarouca","41º2'41''","7º52'37''","firepit",2014-05-03 01:00:00,21:24:00,2014-05-03 01:00:00,22:34:00,2014-05-03 01:00:00,22:00:00,NA,0,0.06,0,0.06,0.06,0
73,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Soajo","41º53'12''","8º18'49''","firepit",2014-05-04 01:00:00,18:28:00,2014-05-04 01:00:00,23:00:00,2014-05-04 01:00:00,18:40:00,NA,0,0.47,0,0.47,0.47,1
74,"-","Viana do Castelo","Caminha","União das freguesias de Venade e Azevedo","41º53'16''","8º46'14''","firepit",2014-05-05 01:00:00,03:41:00,2014-05-05 01:00:00,05:00:00,2014-05-05 01:00:00,03:43:00,NA,0,0.3,0,0.3,0.3,1
75,"-","Bragança","Freixo de Espada à Cinta","União das freguesias de Freixo de Espada à Cinta e Mazouco","41º10'17''","6º46'55''","fire",2014-03-16 00:00:00,14:07:00,2014-03-16 00:00:00,19:05:00,2014-03-16 00:00:00,14:15:00,NA,0,3.15,0,3.15,3.15,0
76,"Beira Interior","Guarda","Trancoso","Cótimos","40º49'36''","7º14'25''","fire",2014-03-15 00:00:00,16:29:00,2014-03-15 00:00:00,22:00:00,2014-03-15 00:00:00,17:05:00,NA,2,5,0,7,7,0
77,"Entre Douro e Minho","Braga","Braga","Pedralva","41:33:58","08:18:38","firepit",2014-03-15 00:00:00,18:55:00,2014-03-15 00:00:00,20:15:00,2014-03-15 00:00:00,19:05:00,NA,0,0.01,0,0.01,0.01,1
78,"Beira Interior","Guarda","Mêda","Ranhados","40:59:38","07:19:55","agriculture",2014-03-15 00:00:00,19:10:00,2014-03-15 00:00:00,20:10:00,2014-03-15 00:00:00,19:35:00,NA,0,0,0.1,0,0.1,0
79,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Soajo","41º52'27''","8º14'15''","fire",2014-03-15 00:00:00,21:31:00,2014-03-16 00:00:00,03:05:00,2014-03-15 00:00:00,21:35:00,NA,0,3,0,3,3,1
80,"Algarve","Faro","Monchique","Monchique","37:19:25","08:35:48","firepit",2014-03-14 00:00:00,18:25:00,2014-03-14 00:00:00,20:20:00,2014-03-14 00:00:00,18:45:00,NA,0,0.1,0,0.1,0.1,0
81,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Arcos","41º45'28''","8º40'53''","fire",2014-03-15 00:00:00,15:31:00,2014-03-15 00:00:00,17:12:00,2014-03-15 00:00:00,15:50:00,NA,1,0,0,1,1,0
82,"-","Santarém","Torres Novas","União das freguesias de Olaia e Paço","39º29'56''","8º28'8''","agriculture",2014-03-16 00:00:00,12:06:00,2014-03-16 00:00:00,14:25:00,2014-03-16 00:00:00,12:27:00,NA,0,0,0.2215,0,0.2215,1
83,"Beira Litoral","Guarda","Aguiar da Beira","Pena Verde","40:43:53","07:30:41","firepit",2014-03-16 00:00:00,14:01:00,2014-03-16 00:00:00,16:10:00,2014-03-16 00:00:00,14:14:00,NA,0.4,0.4,0,0.8,0.8,0
84,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Gondoriz","41º54'25''","8º24'26''","fire",2014-03-16 00:00:00,15:43:00,2014-03-16 00:00:00,19:00:00,2014-03-16 00:00:00,16:10:00,NA,1,1,0,2,2,1
85,"-","Portalegre","Nisa","Nossa Senhora da Graça","39:30:52","07:39:01","agriculture",2014-03-18 00:00:00,11:06:00,2014-03-18 00:00:00,11:30:00,2014-03-18 00:00:00,11:10:00,NA,0,0,1e-04,0,1e-04,0
86,"Entre Douro e Minho","Braga","Vila Nova de Famalicão","Cruz","41º24'22''","8º32'1''","agric_burn",2014-03-18 00:00:00,16:04:00,2014-03-18 00:00:00,16:55:00,2014-03-18 00:00:00,16:10:00,NA,0,0.005,0,0.005,0.005,0
87,"-","Braga","Terras de Bouro","União das freguesias de Chamoim e Vilar","41º41'48''","8º12'27''","fire",2014-05-12 01:00:00,13:27:00,2014-05-12 01:00:00,21:40:00,2014-05-12 01:00:00,13:50:00,NA,0.9,1.6,0,2.5,2.5,0
88,"Beira Interior","Guarda","Fornos de Algodres","Figueiró da Granja","40:38:19","07:28:05","fire",2014-05-13 01:00:00,15:56:00,2014-05-13 01:00:00,19:30:00,2014-05-13 01:00:00,16:17:00,NA,9,17,0,26,26,1
89,"-","Évora","Estremoz","União das freguesias de Estremoz (Santa Maria e Santo André)","38º50'52''","7º33'9''","agriculture",2014-05-13 01:00:00,16:09:00,2014-05-13 01:00:00,16:35:00,2014-05-13 01:00:00,16:17:00,NA,0,0,2e-04,0,2e-04,0
90,"Entre Douro e Minho","Aveiro","Oliveira de Azeméis","Vila de Cucujães","40º51'59''","8º30'31''","firepit",2014-05-05 01:00:00,19:30:00,2014-05-05 01:00:00,21:00:00,2014-05-05 01:00:00,19:40:00,NA,0,0.141,0,0.141,0.141,1
91,"Algarve","Faro","São Brás de Alportel","São Brás de Alportel","37:09:03","07:53:42","firepit",2014-05-06 01:00:00,14:17:00,2014-05-06 01:00:00,15:30:00,2014-05-06 01:00:00,14:22:00,NA,0,0.0268,0,0.0268,0.0268,0
92,"Entre Douro e Minho","Porto","Lousada","Nevogilde","36º56'39''","10º22'41''","firepit",2014-05-06 01:00:00,13:30:00,2014-05-06 01:00:00,17:04:00,2014-05-06 01:00:00,13:35:00,NA,0.58,0,0,0.58,0.58,0
93,"-","Leiria","Bombarral","União das freguesias de Bombarral e Vale Covo","39º15'46''","9º9'18''","agriculture",2014-05-06 01:00:00,15:58:00,2014-05-06 01:00:00,16:45:00,2014-05-06 01:00:00,16:05:00,NA,0,0,0.002,0,0.002,0
94,"Entre Douro e Minho","Braga","Guimarães","Azurém","41º23'36''","8º19'46''","agriculture",2014-05-08 01:00:00,04:14:00,2014-05-08 01:00:00,05:40:00,2014-05-08 01:00:00,04:18:00,NA,0,0,0.001,0,0.001,0
95,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Ribeira","41º51'34''","8º33'43''","firepit",2014-05-08 01:00:00,14:44:00,2014-05-08 01:00:00,15:30:00,2014-05-08 01:00:00,14:46:00,NA,0,0.02,0,0.02,0.02,0
96,"-","Viseu","Viseu","União das freguesias de Couto de Baixo e Couto de Cima","40º38'12''","8º2'30''","firepit",2014-04-07 01:00:00,17:01:00,2014-04-07 01:00:00,18:00:00,2014-04-07 01:00:00,17:17:00,NA,0.01,0.02,0,0.03,0.03,1
97,"Alentejo","Setúbal","Santiago do Cacém","Alvalade","37º49'49''","8º42'24''","agriculture",2014-06-05 01:00:00,14:13:00,2014-06-05 01:00:00,17:15:00,2014-06-05 01:00:00,14:37:00,NA,0,0,0.035,0,0.035,0
98,"Algarve","Faro","Olhão","Moncarapacho","37:03:27","07:46:08","agriculture",2014-06-08 01:00:00,16:14:00,2014-06-08 01:00:00,17:54:00,2014-06-08 01:00:00,16:27:00,NA,0,0,0.2,0,0.2,0
99,"Trás-os-Montes","Bragança","Mirandela","Aguieiras","41º42'37.720800000007''","7º12'24.3323999999997''","firepit",2014-06-10 01:00:00,15:28:00,2014-06-10 01:00:00,17:35:00,2014-06-10 01:00:00,16:05:00,NA,0,1e-04,0,1e-04,1e-04,0
100,"-","Bragança","Torre de Moncorvo","União das freguesias de Adeganha e Cardanha","41º13'44''","7º1'54''","fire",2014-05-14 01:00:00,10:10:00,2014-05-15 01:00:00,01:12:00,2014-05-14 01:00:00,10:30:00,NA,0,73.57,0,73.57,73.57,0
101,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","Arcas","41º37'46''","7º1'13''","fire",2014-05-14 01:00:00,17:19:00,2014-05-14 01:00:00,23:00:00,2014-05-14 01:00:00,17:38:00,NA,0,6.58,0,6.58,6.58,0
102,"-","Braga","Barcelos","União das freguesias de Durrães e Tregosa","41º38'22''","8º41'24''","firepit",2014-05-15 01:00:00,05:33:00,2014-05-15 01:00:00,07:00:00,2014-05-15 01:00:00,05:40:00,NA,0,0.02,0,0.02,0.02,0
103,"Beira Litoral","Coimbra","Oliveira do Hospital","Nogueira do Cravo","40º18'59''","7º51'57''","firepit",2014-05-15 01:00:00,12:44:00,2014-05-15 01:00:00,14:05:00,2014-05-15 01:00:00,12:53:00,NA,0.015,0,0,0.015,0.015,1
104,"Entre Douro e Minho","Viseu","Cinfães","Ferreiros de Tendais","41º2'53''","8º2'40''","firepit",2014-05-15 01:00:00,13:05:00,2014-05-15 01:00:00,13:50:00,2014-05-15 01:00:00,13:30:00,NA,0,0.005,0,0.005,0.005,0
105,"-","Viana do Castelo","Arcos de Valdevez","União das freguesias de Souto e Tabaçô","41º48'45''","8º25'53''","firepit",2014-05-15 01:00:00,15:07:00,2014-05-15 01:00:00,16:35:00,2014-05-15 01:00:00,15:15:00,NA,0,0.005,0,0.005,0.005,1
106,"Entre Douro e Minho","Viana do Castelo","Valença","Cerdal","41º58'40''","8º37'56''","firepit",2014-03-19 00:00:00,20:42:00,2014-03-19 00:00:00,21:35:00,2014-03-19 00:00:00,20:48:00,NA,0,0.01,0,0.01,0.01,0
107,"Entre Douro e Minho","Aveiro","Vale de Cambra","Roge","40º51'11''","8º19'50''","firepit",2014-03-20 00:00:00,14:40:00,2014-03-20 00:00:00,17:55:00,2014-03-20 00:00:00,15:00:00,NA,0,0.2,0,0.2,0.2,0
